country,Corpus,Nb.of.participants,Location,Latitude,Longitude
United States,Menn,1,Cambridge MA,42.3750997,-71.1056157
United States,Sachs,1,"Connecticut, USA",41.6500201,-72.7342163
United States,Davis,21,USA,39.7837304,-100.445882
United States,Feldman (Andrea) ,1,"Colorado, USA",38.7251776,-105.607716
United States,Tanja,1,United States,39.7837304,-100.445882
United States,FallsChurch,1,"USA, Northern Virginia",38.97739029,-77.53382874
United States,Suppes,1,USA,39.7837304,-100.445882
United States,Warren-Leubecker ,20,"suburbs of Atlanta, Georgia, USA",33.7489924,-84.3902644
United States,Rondal-TD,21,usa,39.7837304,-100.445882
United States,Soderstrom,2,USA,39.7837304,-100.445882
United States,Peters/Wilson,1,"Honolulu, HI",21.304547,-157.855676
Hong Kong,Leo,1,Hong-Kong,22.2793278,114.1628131
Hong Kong,CUHK,7,Hong Kong,22.2793278,114.1628131
